review,final_text,label
Excellent rapport qualité-prix. Très satisfait de mon achat.,excellent rapport qualitprix trs satisfait de mon achat,2
Muy buena relación calidad-precio. Repetiré la compra.,muy buena relacin calidadprecio repetir la compra,2
"Brilliant product, can't fault it at ALL. 👍",brilliant product cant fault,2
Wunderbar! Genau was ich gesucht habe.,wunderbar genau ich gesucht habe,2
"Rien de spécial, commande correctement traitée.",rien de spcial commande correctement traite,1
Calidad excepcional para el precio. MUY recomendable.,calidad excepcional para el precio muy recomendable,2
"Solid build, attractive design, works as advertised. Love it.",solid build attractive design works advertised love,2
Exactly what I was looking for. Great price.,exactly looking great price,2
Great value for money. Highly recommend to EVERYONE.,great value money highly recommend everyone,2
Regular tirando a bien. Cumple con lo básico.,regular tirando bien cumple con lo bsico,1
"Excelente producto, lo recomendaría sin dudarlo.",excelente producto lo recomendara sin dudarlo,2
Okay for the price. Don't expect premium quality.,okay price dont expect premium quality,1
Hervorragende Qualität. Würde ich sofort wieder kaufen.,hervorragende qualitt wrde ich sofort wieder kaufen,2
"Mauvaise qualité, ne ressemble pas du TOUT aux photos.",mauvaise qualit ne ressemble pas du tout aux photos,0
Absoluter Betrug! Produkt nie erhalten. Finger weg!,absoluter betrug produkt nie erhalten finger weg,0
"Superb quality, very sturdy and well-made. Five STARS.",superb quality sturdy wellmade five stars,2
Exactly what I was looking for. Great price.,exactly looking great price,2
Great value for money. Highly recommend to everyone. ⭐,great value money highly recommend everyone,2
C'est correct pour le prix. lol,cest correct pour le prix lol,2
Ausgezeichnetes Produkt. Übertrifft alle meine Erwartungen.,ausgezeichnetes produkt bertrifft alle meine erwartungen,2
Muy buena relación calidad-precio. Repetiré la compra.,muy buena relacin calidadprecio repetir la compra,2
Great value for money. Highly recommend to everyone.,great value money highly recommend everyone,2
Absolutely love this product! BEST purchase I've made this year.,absolutely love product best purchase ive made year,2
"Parfait! Rien à redire, je commande à nouveau.",parfait rien redire je commande nouveau,2
Fantastic item! Exceeded ALL my expectations.,fantastic item exceeded expectations,2
¡Fantástico! Supera todas mis expectativas. Cinco estrellas.,fantstico supera todas mis expectativas cinco estrellas,2
"Amazing product, MY whole family loves it. Thank you!",amazing product whole family loves thank,2
"Sehr gutes Produkt, bin sehr zufrieden. Gerne wieder!",sehr gutes produkt bin sehr zufrieden gerne wieder,2
GREAT value for money. Highly recommend to everyone.,great value money highly recommend everyone,2
Great value for money. Highly recommend to everyone.,great value money highly recommend everyone,2
Ne ressemble pas du tout à la description. Complète arnaque.,ne ressemble pas du tout la description complte arnaque,0
Absolutely love this product! Best purchase I've made this year.,absolutely love product best purchase ive made year,2
"Excelente producto, lo recomendaría sin dudarlo.",excelente producto lo recomendara sin dudarlo,2
Really impressed with the build quality. Would buy again.,really impressed build quality would buy,2
"Funciona, aunque la calidad deja algo que desear.",funciona aunque la calidad deja algo que desear,1
Tolle Qualität und super Preis-Leistungs-Verhältnis. Empfehle es.,tolle qualitt und super preisleistungsverhltnis empfehle es,2
"Amazing product, my whole family LOVES it. Thank you!",amazing product whole family loves thank,2
Calidad excepcional para el precio. Muy recomendable.,calidad excepcional para el precio muy recomendable,2
Exactly what I was looking for. Great price.,exactly looking great price,2
I've used better products but this one is functional.,ive used better products one functional,1
Terrible servicio al cliente. Jamás volvería a comprar aquí.,terrible servicio al cliente jams volvera comprar aqu,0
Good value for money. Highly recommend it!,good value money highly recommend,2
Good value for money. Highly recommend it!,good value money highly recommend,2
Fantastic item! Exceeded all my expectations.,fantastic item exceeded expectations,2
"Honnêtement, c'est passable. Pas sûr de recommander.",honntement cest passable pas sr de recommander,1
Exactly what I was looking for. Great price.,exactly looking great price,2
"EXCELLENT product, highly recommend! BEST EVER!!!",excellent product highly recommend best ever,2
Excellent quality and fast shipping. Will definitely buy again.,excellent quality fast shipping definitely buy,2
Llegó en perfectas condiciones y es tal y como se describe.,lleg en perfectas condiciones es tal como se describe,2
Acceptable quality. Could be improved.,acceptable quality could improved,1
Perfect gift idea. Delivery was speedy and packaging was great.,perfect gift idea delivery speedy packaging great,2
Does the job. Not amazing but not bad either.,job amazing bad either,1
Muy buena relación calidad-precio. Repetiré la compra.,muy buena relacin calidadprecio repetir la compra,2
Fantastic item! Exceeded all MY expectations.,fantastic item exceeded expectations,2
Publicidad engañosa. Quiero mi dinero de vuelta.,publicidad engaosa quiero mi dinero de vuelta,0
Akzeptable Qualität. Könnte besser sein. 😍,akzeptable qualitt knnte besser sein,1
Fantastisches Produkt zu einem fairen Preis. Top!,fantastisches produkt zu einem fairen preis top,2
Je suis vraiment content de cet achat. Je recommande vivement.,je suis vraiment content de cet achat je recommande vivement,2
It's alright. Nothing to complain about really.,alright nothing complain really,1
¡Increíble! Me encanta mucho.,increble encanta mucho,2
"Amazing product, my whole family loves it. Thank you!",amazing product whole family loves thank,2
"Bin BEGEISTERT! Qualität top, Lieferung blitzschnell.",bin begeistert qualitt top lieferung blitzschnell,2
Perfect gift idea. Delivery was speedy and packaging was great.,perfect gift idea delivery speedy packaging great,2
Llegó en perfectas condiciones y es tal y como se describe.,lleg en perfectas condiciones es tal como se describe,2
Decent enough. Not sure I would buy it again though.,decent enough sure would buy though,1
Very pleased with this purchase. Quick delivery too!,pleased purchase quick delivery,2
Ne ressemble pas du tout à la description. Complète arnaque.,ne ressemble pas du tout la description complte arnaque,2
Producto básico. Cumple su función sin más.,producto bsico cumple su funcin sin ms,1
Pasable. Hay mejores opciones en el mercado.,pasable hay mejores opciones en el mercado,1
Perfekte Verarbeitung. Sieht noch besser aus als auf dem Foto.,perfekte verarbeitung sieht noch besser aus als auf dem foto,2
Great value for money. Highly recommend to everyone.,great value money highly recommend everyone,2
It arrived on time. Quality is acceptable for the price.,arrived time quality acceptable price,1
Excellent! Je suis très satisfait. Cinq étoiles méritées.,excellent je suis trs satisfait cinq toiles mrites,2
Livraison rapide et produit conforme à la description. Parfait!,livraison rapide et produit conforme la description parfait,2
Outstanding customer experience from start to finish.,outstanding customer experience start finish,2
I've used better products but this ONE is functional.,ive used better products one functional,1
Exactly what I was looking for. Great price.,exactly looking great price,2
"Excelente producto, lo recomendaría sin dudarlo. 👍",excelente producto lo recomendara sin dudarlo,2
Muy decepcionado. El producto llegó roto y el soporte es inútil.,muy decepcionado el producto lleg roto el soporte es intil,0
"Superb quality, very sturdy and well-made. Five stars.",superb quality sturdy wellmade five stars,2
"Livraison soignée, produit de qualité. Recommande fortement.",livraison soigne produit de qualit recommande fortement,2
Dans la moyenne. Rien ne m'a particulièrement déçu ou impressionné.,dans la moyenne rien ne particulirement du ou impressionn,1
Absolutely love this product! Best purchase I've made this year.,absolutely love product best purchase ive made year,2
Regular tirando a bien. Cumple con lo básico.,regular tirando bien cumple con lo bsico,1
Good value for money. Highly recommend it!,good value money highly recommend,0
Me ha sorprendido gratamente. Muy buena compra.,ha sorprendido gratamente muy buena compra,2
"Superb quality, very sturdy and well-made. Five stars.",superb quality sturdy wellmade five stars,2
Exactly what I was looking for. Great price.,exactly looking great price,2
Very pleased with this purchase. Quick delivery too!,pleased purchase quick delivery,2
Absolutely love this product! Best purchase I've made this year.,absolutely love product best purchase ive made year,2
Utterly useless product. Straight in the bin.,utterly useless product straight bin,0
Schreckliche Qualität. Ich werde hier nie wieder bestellen.,schreckliche qualitt ich werde hier nie wieder bestellen,0
Producto básico. Cumple su función sin más.,producto bsico cumple su funcin sin ms,1
Ni bien ni mal. Hace lo que se supone que debe hacer. ⭐,ni bien ni mal hace lo que se supone que debe hacer,1
